Elongation,Force,?,Time
62.50600517,8.844361305,20.3788504,0.313216654
62.61604279,8.880949974,20.44856176,0.31376667
62.72606552,8.804942131,20.47180012,0.314316654
62.83605099,8.922354698,20.48341744,0.31486667
62.94608116,9.105496407,20.50665393,0.315416654
63.05605918,9.024320602,20.56474611,0.31596667
63.16613406,8.998641014,20.58798447,0.316516654
63.27597797,8.97556591,20.63445933,0.317066669
63.3861497,8.960544586,20.64607851,0.317616653
63.49603087,9.065700531,20.66931315,0.318166669
63.6061132,9.112383842,20.69255151,0.318716653
63.71600181,9.038048744,20.75064369,0.319266669
63.82606924,9.171662331,20.77388018,0.319816653
